portfolio,type,time,amount,balance,amount/balance unit,transfer id,trade id,order id
default,deposit,2021-07-24T12:13:54.873Z,372.7417978000000000,372.7417978000000000,LINK,10bf5b62-d721-4ff8-bea4-01acede1ee48,,
default,withdrawal,2021-08-04T12:36:30.901Z,-100.0000000000000000,272.7417978000000000,LINK,02e80b30-19e9-4455-bb92-26332227b61a,,
default,match,2021-08-22T20:23:06.591Z,-50.0000000000000000,61.4585546100000000,LINK,,1609474,4270a17f-8dd9-4255-811b-d18a1a307e67
default,match,2021-08-22T20:23:06.591Z,996.4495000000000000,2132.7964026990000000,GBP,,1609474,4270a17f-8dd9-4255-811b-d18a1a307e67
